,valy_p1,valy_p2,valy_p3,valy_p4,valy_p5,valy_p6,valy_p7,valy_p8,valy_p9
0,200.0,200.0,1.0,1,1.0,5.0,1000.0,5.0,5.0
1,203.33333333333334,203.33333333333334,0.9836065573770492,1,0.7,3.5,711.6666666666667,5.0,4.918032786885246
2,210.05555555555557,206.66666666666666,0.9521290663845543,1,0.8,4.0,840.2222222222223,5.0,4.760645331922771
3,220.2787037037037,210.0,0.9079406980214458,1,1.0,5.0,1101.3935185185185,5.0,4.539703490107229
4,234.17316358024692,213.33333333333334,0.8540688306987133,1,1.1,5.5,1287.952399691358,5.0,4.270344153493567
5,251.9705095164609,216.66666666666666,0.7937436820832966,1,0.9,4.5,1133.8672928240742,5.0,3.968718410416483
6,273.9673639446159,220.0,0.7300139590364901,1,1.0,5.0,1369.8368197230795,5.0,3.650069795182451
7,300.53034110518115,223.33333333333334,0.6654902106207072,1,0.7,3.5,1051.8561938681341,5.0,3.327451053103536
8,332.1021572841661,226.66666666666666,0.6022243325232852,1,0.8,4.0,1328.4086291366643,5.0,3.011121662616426
9,369.20900941788716,230.0,0.5416985904957458,1,1.2,6.0,2215.254056507323,5.0,2.708492952478729
10,412.4693450419063,233.33333333333331,0.48488451906572666,1,0.8,4.0,1649.8773801676252,5.0,2.4244225953286334
11,462.60416974995724,236.66666666666666,0.43233505678970047,1,1.2,6.0,2775.6250184997434,5.0,2.1616752839485023
12,520.4490639538408,240.0,0.38428352331081955,1,0.8,4.0,2081.796255815363,5.0,1.9214176165540977
